pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
35.0,-93.5425,-90.0,bottom,C1,,C_Radial_D6.3mm_H11.0mm_P2.50mm,6.3V 1000uF,tht,True
45.5,-109.09,0.0,bottom,C2,,C_Disc_D4.7mm_W2.5mm_P5.00mm,104,tht,True
65.55,-109.09,0.0,bottom,C3,,C_Disc_D4.7mm_W2.5mm_P5.00mm,104,tht,True
85.6,-109.09,0.0,bottom,C4,,C_Disc_D4.7mm_W2.5mm_P5.00mm,104,tht,True
105.65,-109.09,0.0,bottom,C5,,C_Disc_D4.7mm_W2.5mm_P5.00mm,104,tht,True
92.125,-94.75,-90.0,bottom,D1,,Diode_DO-35,1N4148,tht,True
30.975,-83.225,0.0,top,HOLE1,,MountingHole_2.2mm_M2_Pad_Via,,tht,True
109.175,-83.225,0.0,top,HOLE2,,MountingHole_2.2mm_M2_Pad_Via,,tht,True
109.175,-209.025,0.0,top,HOLE3,,MountingHole_2.2mm_M2_Pad_Via,,tht,True
30.975,-209.025,0.0,top,HOLE4,,MountingHole_2.2mm_M2_Pad_Via,,tht,True
42.5,-188.25,180.0,bottom,KC1,,C_Disc_D4.7mm_W2.5mm_P5.00mm,104,tht,True
57.55,-168.2,0.0,bottom,KC10,,C_Disc_D4.7mm_W2.5mm_P5.00mm,104,tht,True
57.55,-128.1,0.0,bottom,KC11,,C_Disc_D4.7mm_W2.5mm_P5.00mm,104,tht,True
77.6,-208.3,0.0,bottom,KC12,,C_Disc_D4.7mm_W2.5mm_P5.00mm,104,tht,True
77.6,-168.2,0.0,bottom,KC13,,C_Disc_D4.7mm_W2.5mm_P5.00mm,104,tht,True
77.6,-128.1,0.0,bottom,KC14,,C_Disc_D4.7mm_W2.5mm_P5.00mm,104,tht,True
108.45,-192.475,90.0,bottom,KC15,,C_Disc_D4.7mm_W2.5mm_P5.00mm,104,tht,True
108.45,-152.375,90.0,bottom,KC16,,C_Disc_D4.7mm_W2.5mm_P5.00mm,104,tht,True
97.65,-128.1,0.0,bottom,KC17,,C_Disc_D4.7mm_W2.5mm_P5.00mm,104,tht,True
42.5,-148.15,180.0,bottom,KC2,,C_Disc_D4.7mm_W2.5mm_P5.00mm,104,tht,True
