Ref,Val,Package,PosX,PosY,Rot,Side
"C1","6.3V 1000uF","C_Radial_D6.3mm_H11.0mm_P2.50mm",35.000000,-93.542500,-90.000000,bottom
"C2","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",45.500000,-109.090000,0.000000,bottom
"C3","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",65.550000,-109.090000,0.000000,bottom
"C4","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",85.600000,-109.090000,0.000000,bottom
"C5","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",105.650000,-109.090000,0.000000,bottom
"D1","1N4148","Diode_DO-35",92.125000,-94.750000,-90.000000,bottom
"KC1","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",42.500000,-188.250000,180.000000,bottom
"KC2","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",42.500000,-148.150000,180.000000,bottom
"KC3","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",62.550000,-188.250000,180.000000,bottom
"KC4","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",62.550000,-148.150000,180.000000,bottom
"KC5","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",82.600000,-188.250000,180.000000,bottom
"KC6","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",82.600000,-148.150000,180.000000,bottom
"KC7","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",47.525000,-208.300000,0.000000,bottom
"KC8","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",37.500000,-168.200000,0.000000,bottom
"KC9","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",37.500000,-128.100000,0.000000,bottom
"KC10","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",57.550000,-168.200000,0.000000,bottom
"KC11","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",57.550000,-128.100000,0.000000,bottom
"KC12","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",77.600000,-208.300000,0.000000,bottom
"KC13","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",77.600000,-168.200000,0.000000,bottom
"KC14","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",77.600000,-128.100000,0.000000,bottom
"KC15","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",108.450000,-192.475000,90.000000,bottom
"KC16","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",108.450000,-152.375000,90.000000,bottom
"KC17","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",97.650000,-128.100000,0.000000,bottom
"KD1","1N4148","Diode_DO-35",48.525000,-171.925000,-90.000000,bottom
"KD2","1N4148","Diode_DO-35",48.525000,-131.825000,-90.000000,bottom
"KD3","1N4148","Diode_DO-35",68.575000,-171.925000,-90.000000,bottom
"KD4","1N4148","Diode_DO-35",68.575000,-131.825000,-90.000000,bottom
"KD5","1N4148","Diode_DO-35",88.625000,-171.925000,-90.000000,bottom
"KD6","1N4148","Diode_DO-35",88.625000,-131.825000,-90.000000,bottom
"KD7","1N4148","Diode_DO-35",58.550000,-191.975000,-90.000000,bottom
"KD8","1N4148","Diode_DO-35",48.525000,-151.875000,-90.000000,bottom
"KD9","1N4148","Diode_DO-35",48.525000,-111.775000,-90.000000,bottom
"KD10","1N4148","Diode_DO-35",68.575000,-151.875000,-90.000000,bottom
"KD11","1N4148","Diode_DO-35",68.575000,-111.775000,-90.000000,bottom
"KD12","1N4148","Diode_DO-35",88.625000,-191.975000,-90.000000,bottom
"KD13","1N4148","Diode_DO-35",88.625000,-151.875000,-90.000000,bottom
"KD14","1N4148","Diode_DO-35",88.625000,-111.775000,-90.000000,bottom
"KD15","1N4148","Diode_DO-35",92.125000,-181.450000,0.000000,bottom
"KD16","1N4148","Diode_DO-35",92.125000,-141.350000,0.000000,bottom
"KD17","1N4148","Diode_DO-35",108.675000,-111.775000,-90.000000,bottom
"LED1","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",40.000000,-107.250000,0.000000,bottom
"LED2","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",60.050000,-107.250000,0.000000,bottom
"LED3","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",80.100000,-107.250000,0.000000,bottom
"LED4","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",100.150000,-107.250000,0.000000,bottom
"LED_4-row3-col3","SK6812mini-e","led_SK6812mini-e",100.150000,-124.760000,180.000000,bottom
"LED_5-row4-col2","SK6812mini-e","led_SK6812mini-e",80.100000,-124.760000,180.000000,bottom
"LED_6-row4-col1","SK6812mini-e","led_SK6812mini-e",60.050000,-124.760000,180.000000,bottom
"LED_7-row4-col0","SK6812mini-e","led_SK6812mini-e",40.000000,-124.760000,180.000000,bottom
"LED_8-row3-col0","SK6812mini-e","led_SK6812mini-e",40.000000,-144.810000,0.000000,bottom
"LED_9-row3-col1","SK6812mini-e","led_SK6812mini-e",60.050000,-144.810000,0.000000,bottom
"LED_10-row3-col2","SK6812mini-e","led_SK6812mini-e",80.100000,-144.810000,0.000000,bottom
"LED_11-row2-col3","SK6812mini-e","led_SK6812mini-e",105.110000,-149.875000,-90.000000,bottom
"LED_12-row2-col2","SK6812mini-e","led_SK6812mini-e",80.100000,-164.860000,180.000000,bottom
"LED_13-row2-col1","SK6812mini-e","led_SK6812mini-e",60.050000,-164.860000,180.000000,bottom
"LED_14-row2-col0","SK6812mini-e","led_SK6812mini-e",40.000000,-164.860000,180.000000,bottom
"LED_15-row1-col0","SK6812mini-e","led_SK6812mini-e",40.000000,-184.910000,0.000000,bottom
"LED_16-row1-col1","SK6812mini-e","led_SK6812mini-e",60.050000,-184.910000,0.000000,bottom
"LED_17-row1-col2","SK6812mini-e","led_SK6812mini-e",80.100000,-184.910000,0.000000,bottom
"LED_18-row0-col3","SK6812mini-e","led_SK6812mini-e",105.110000,-189.975000,-90.000000,bottom
"LED_19-row0-col2","SK6812mini-e","led_SK6812mini-e",80.100000,-204.960000,180.000000,bottom
"LED_20-row0-col0","SK6812mini-e","led_SK6812mini-e",50.025000,-204.960000,180.000000,bottom
"R1","470R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",54.787500,-105.500000,180.000000,bottom
"HOLE1","","MountingHole_2.2mm_M2_Pad_Via",30.975000,-83.225000,0.000000,top
"HOLE2","","MountingHole_2.2mm_M2_Pad_Via",109.175000,-83.225000,0.000000,top
"HOLE3","","MountingHole_2.2mm_M2_Pad_Via",109.175000,-209.025000,0.000000,top
"HOLE4","","MountingHole_2.2mm_M2_Pad_Via",30.975000,-209.025000,0.000000,top
"KSW1","Kailh MX Switch Sockets","MX",40.000000,-179.950000,0.000000,top
"KSW2","Kailh MX Switch Sockets","MX",40.000000,-139.850000,0.000000,top
"KSW3","Kailh MX Switch Sockets","MX",60.050000,-179.950000,0.000000,top
"KSW4","Kailh MX Switch Sockets","MX",60.050000,-139.850000,0.000000,top
"KSW5","Kailh MX Switch Sockets","MX",80.100000,-179.950000,0.000000,top
"KSW6","Kailh MX Switch Sockets","MX",80.100000,-139.850000,0.000000,top
"KSW7","Kailh MX Switch Sockets","MX",50.025000,-200.000000,0.000000,top
"KSW8","Kailh MX Switch Sockets","MX",40.000000,-159.900000,0.000000,top
"KSW9","Kailh MX Switch Sockets","MX",40.000000,-119.800000,0.000000,top
