Ref,Val,Package,PosX,PosY,Rot,Side
"C2","C_1206_3216Metric","C_1206_3216Metric",44.350000,-109.650000,0.000000,bottom
"C3","C_1206_3216Metric","C_1206_3216Metric",64.400000,-109.650000,0.000000,bottom
"C4","C_1206_3216Metric","C_1206_3216Metric",84.450000,-109.650000,0.000000,bottom
"C5","C_1206_3216Metric","C_1206_3216Metric",104.500000,-109.650000,0.000000,bottom
"C6","C_1206_3216Metric","C_1206_3216Metric",44.350000,-187.310000,0.000000,bottom
"C7","C_1206_3216Metric","C_1206_3216Metric",44.350000,-147.210000,0.000000,bottom
"C8","C_1206_3216Metric","C_1206_3216Metric",64.400000,-187.310000,0.000000,bottom
"C9","C_1206_3216Metric","C_1206_3216Metric",64.400000,-147.210000,0.000000,bottom
"C10","C_1206_3216Metric","C_1206_3216Metric",84.450000,-187.310000,0.000000,bottom
"C11","C_1206_3216Metric","C_1206_3216Metric",84.450000,-147.210000,0.000000,bottom
"C12","C_1206_3216Metric","C_1206_3216Metric",45.675000,-202.560000,180.000000,bottom
"C13","C_1206_3216Metric","C_1206_3216Metric",35.650000,-162.460000,180.000000,bottom
"C14","C_1206_3216Metric","C_1206_3216Metric",35.650000,-122.360000,180.000000,bottom
"C15","C_1206_3216Metric","C_1206_3216Metric",55.700000,-162.460000,180.000000,bottom
"C16","C_1206_3216Metric","C_1206_3216Metric",55.700000,-122.360000,180.000000,bottom
"C17","C_1206_3216Metric","C_1206_3216Metric",75.750000,-202.560000,180.000000,bottom
"C18","C_1206_3216Metric","C_1206_3216Metric",75.750000,-162.460000,180.000000,bottom
"C19","C_1206_3216Metric","C_1206_3216Metric",75.750000,-122.360000,180.000000,bottom
"C20","C_1206_3216Metric","C_1206_3216Metric",102.710000,-194.325000,-90.000000,bottom
"C21","C_1206_3216Metric","C_1206_3216Metric",102.710000,-154.225000,-90.000000,bottom
"C22","C_1206_3216Metric","C_1206_3216Metric",95.800000,-122.360000,180.000000,bottom
"D1","D_1206_3216Metric-th1","D_1206_3216Metric-th1",58.450000,-193.875000,-90.000000,bottom
"D2","D_1206_3216Metric-th1","D_1206_3216Metric-th1",48.425000,-173.825000,-90.000000,bottom
"D3","D_1206_3216Metric-th1","D_1206_3216Metric-th1",48.425000,-153.775000,-90.000000,bottom
"D4","D_1206_3216Metric-th1","D_1206_3216Metric-th1",48.425000,-133.725000,-90.000000,bottom
"D5","D_1206_3216Metric-th1","D_1206_3216Metric-th1",48.425000,-113.675000,-90.000000,bottom
"D6","D_1206_3216Metric-th1","D_1206_3216Metric-th1",68.475000,-173.825000,-90.000000,bottom
"D7","D_1206_3216Metric-th1","D_1206_3216Metric-th1",68.475000,-153.775000,-90.000000,bottom
"D8","D_1206_3216Metric-th1","D_1206_3216Metric-th1",68.475000,-133.725000,-90.000000,bottom
"D9","D_1206_3216Metric-th1","D_1206_3216Metric-th1",68.475000,-113.675000,-90.000000,bottom
"D10","D_1206_3216Metric-th1","D_1206_3216Metric-th1",88.525000,-193.875000,-90.000000,bottom
"D11","D_1206_3216Metric-th1","D_1206_3216Metric-th1",88.525000,-173.825000,-90.000000,bottom
"D12","D_1206_3216Metric-th1","D_1206_3216Metric-th1",88.525000,-153.775000,-90.000000,bottom
"D13","D_1206_3216Metric-th1","D_1206_3216Metric-th1",88.525000,-133.725000,-90.000000,bottom
"D14","D_1206_3216Metric-th1","D_1206_3216Metric-th1",88.525000,-113.675000,-90.000000,bottom
"D15","D_1206_3216Metric-th2","D_1206_3216Metric-th2",94.025000,-181.550000,0.000000,bottom
"D16","D_1206_3216Metric-th2","D_1206_3216Metric-th2",94.025000,-141.450000,0.000000,bottom
"D17","D_1206_3216Metric-th1","D_1206_3216Metric-th1",108.575000,-113.675000,-90.000000,bottom
"D18","D_1206_3216Metric","D_1206_3216Metric",94.425000,-102.650000,0.000000,bottom
"C1","470uF 10V","CP_Elec_6.3x7.7",37.000000,-94.867500,180.000000,top
