Designator,Mid X,Mid Y,Layer,Rotation
C10,84.45,-177.39,bottom,180
C11,84.45,-137.29,bottom,180
C12,45.675,-192.64,bottom,0
C13,35.65,-152.54,bottom,0
C14,35.65,-112.44,bottom,0
C15,55.7,-152.54,bottom,0
C16,55.7,-112.44,bottom,0
C17,75.75,-192.64,bottom,0
C18,75.75,-152.54,bottom,0
C19,75.75,-112.44,bottom,0
C2,44.35,-105.8875,bottom,180
C20,92.79,-194.325,bottom,270
C21,92.79,-154.225,bottom,270
C22,95.8,-112.44,bottom,0
C3,64.4,-105.8875,bottom,180
C4,84.45,-105.8875,bottom,180
C5,104.5,-105.8875,bottom,180
C6,44.35,-177.39,bottom,180
C7,44.35,-137.29,bottom,180
C8,64.4,-177.39,bottom,180
C9,64.4,-137.29,bottom,180
D1,41.6,-206.125,bottom,90
D10,71.675,-206.125,bottom,90
D11,71.675,-186.075,bottom,90
D12,71.675,-166.025,bottom,90
D13,71.675,-145.975,bottom,90
D14,71.675,-125.925,bottom,90
D15,106.275,-198.4,bottom,0
D16,106.275,-158.3,bottom,0
D17,91.725,-125.925,bottom,90
D18,94.425,-99.0625,bottom,180
D2,31.575,-186.075,bottom,90
D3,31.575,-166.025,bottom,90
D4,31.575,-145.975,bottom,90
D5,31.575,-125.925,bottom,90
D6,51.625,-186.075,bottom,90
D7,51.625,-166.025,bottom,90
D8,51.625,-145.975,bottom,90
D9,51.625,-125.925,bottom,90
