Designator,Mid X,Mid Y,Rotation,Layer
C1,35.0,-94.7925,270.0,bottom
C2,48.0,-109.09,180.0,bottom
C3,68.05,-109.09,180.0,bottom
C4,88.1,-109.09,180.0,bottom
C5,108.15,-109.09,180.0,bottom
D1,92.125,-98.56,270.0,bottom
HOLE1,30.975,-83.225,0.0,top
HOLE2,109.175,-83.225,0.0,top
HOLE3,109.175,-209.025,0.0,top
HOLE4,30.975,-209.025,0.0,top
KC1,40.0,-188.25,0.0,bottom
KC10,60.05,-168.2,180.0,bottom
KC11,60.05,-128.1,180.0,bottom
KC12,80.1,-208.3,180.0,bottom
KC13,80.1,-168.2,180.0,bottom
KC14,80.1,-128.1,180.0,bottom
KC15,108.45,-189.975,90.0,bottom
KC16,108.45,-149.875,90.0,bottom
KC17,100.15,-128.1,180.0,bottom
KC2,40.0,-148.15,0.0,bottom
KC3,60.05,-188.25,0.0,bottom
KC4,60.05,-148.15,0.0,bottom
KC5,80.1,-188.25,0.0,bottom
KC6,80.1,-148.15,0.0,bottom
KC7,50.025,-208.3,180.0,bottom
KC8,40.0,-168.2,180.0,bottom
KC9,40.0,-128.1,180.0,bottom
KD1,48.525,-175.735,270.0,bottom
KD10,68.575,-155.685,270.0,bottom
KD11,68.575,-115.585,270.0,bottom
KD12,88.625,-195.785,270.0,bottom
KD13,88.625,-155.685,270.0,bottom
KD14,88.625,-115.585,270.0,bottom
KD15,95.935,-181.45,180.0,bottom
KD16,95.935,-141.35,180.0,bottom
KD17,108.675,-115.585,270.0,bottom
KD2,48.525,-135.635,270.0,bottom
KD3,68.575,-175.735,270.0,bottom
KD4,68.575,-135.635,270.0,bottom
KD5,88.625,-175.735,270.0,bottom
KD6,88.625,-135.635,270.0,bottom
KD7,58.55,-195.785,270.0,bottom
KD8,48.525,-155.685,270.0,bottom
KD9,48.525,-115.585,270.0,bottom
KSW1,39.3785,-177.65695,0.0,top
KSW10,59.4285,-157.60695,0.0,top
KSW11,59.4285,-117.50695,0.0,top
KSW12,79.4785,-197.70695,0.0,top
KSW13,79.4785,-157.60695,0.0,top
KSW14,79.4785,-117.50695,0.0,top
KSW15,97.85695,-190.5965,90.0,top
KSW16,97.85695,-150.4965,90.0,top
KSW17,99.5285,-117.50695,0.0,top
KSW2,39.3785,-137.55695,0.0,top
KSW3,59.4285,-177.65695,0.0,top
KSW4,59.4285,-137.55695,0.0,top
KSW5,79.4785,-177.65695,0.0,top
KSW6,79.4785,-137.55695,0.0,top
KSW7,49.4035,-197.70695,0.0,top
KSW8,39.3785,-157.60695,0.0,top
KSW9,39.3785,-117.50695,0.0,top
LED1,39.77,-107.225,180.0,bottom
LED2,59.82,-107.225,180.0,bottom
LED3,79.87,-107.225,180.0,bottom
LED4,99.92,-107.225,180.0,bottom
LED_10-row3-col2,79.87,-144.785,180.0,bottom
LED_11-row2-col3,105.135,-149.645,270.0,bottom
LED_12-row2-col2,80.33,-164.885,0.0,bottom
LED_13-row2-col1,60.28,-164.885,0.0,bottom
LED_14-row2-col0,40.23,-164.885,0.0,bottom
LED_15-row1-col0,39.77,-184.885,180.0,bottom
LED_16-row1-col1,59.82,-184.885,180.0,bottom
LED_17-row1-col2,79.87,-184.885,180.0,bottom
LED_18-row0-col3,105.135,-189.745,270.0,bottom
LED_19-row0-col2,80.33,-204.985,0.0,bottom
LED_20-row0-col0,50.255,-204.985,0.0,bottom
LED_4-row3-col3,100.38,-124.785,0.0,bottom
LED_5-row4-col2,80.33,-124.785,0.0,bottom
LED_6-row4-col1,60.28,-124.785,0.0,bottom
LED_7-row4-col0,40.23,-124.785,0.0,bottom
LED_8-row3-col0,39.77,-144.785,180.0,bottom
LED_9-row3-col1,59.82,-144.785,180.0,bottom
MCU1,44.23,-94.8675,90.0,top
OLED1,62.95,-96.05,180.0,top
R1,49.7075,-105.5,0.0,bottom
ROT1,100.19,-95.23,270.0,top
